player,field,from,to,source
Joe Huber,rating,61,62,
Jahmyr Gibbs,rating,96,98,
Justin Jefferson,rating,99,97,
Joe Thuney,rating,94,96,
Garett Bolles,rating,94,96,
Aidan Hutchinson,rating,97,95,
Jeffery Simmons,rating,93,95,
Quenton Nelson,rating,92,94,
Brock Bowers,rating,91,93,
Drake London,rating,94,92,
Dak Prescott,rating,90,92,
Devon Witherspoon,rating,93,91,
Josh Jacobs,rating,88,90,
Drake Maye,rating,87,89,
George Pickens,rating,86,88,
Justin Herbert,rating,86,88,
Jaycee Horn,rating,89,87,
Damien Lewis,rating,84,86,
Travis Etienne,rating,84,86,
Javonte Williams,rating,83,85,
Jameson Williams,rating,83,85,
Rashee Rice,rating,87,85,
Joe Alt,rating,87,85,
Alaric Jackson,rating,87,85,
Cam Skattebo,rating,82,84,
Jevon Holland,rating,82,84,
Patrick Ricard,rating,82,84,
Wan'Dale Robinson,rating,82,84,
Justin Reid,rating,85,83,
Jeremy Chinn,rating,80,82,
Morgan Moses,rating,80,82,
Michael Wilson,rating,79,81,
Mike Jackson,rating,83,81,
Nick Bolton,rating,83,81,
James Conner,rating,82,80,
Jonah Jackson,rating,82,80,
Ethan Evans,rating,78,80,
Jaquan Brisker,rating,78,80,
Trent Brown,rating,77,79,
Xavier Worthy,rating,81,79,
Rhamondre Stevenson,rating,77,79,
Carl Granderson,rating,77,79,
Jacory Croskey-Merritt,rating,81,79,
Nakobe Dean,rating,80,78,
Kwity Paye,rating,80,78,
Tyrone Tracy Jr.,rating,76,78,
Will McDonald,rating,76,78,
Rashod Bateman,rating,75,77,
Jordan Battle,rating,79,77,
Marvin Mims Jr.,rating,79,77,
DeMario Douglas,rating,75,77,
Andre Cisco,rating,75,77,
Jermaine Johnson II,rating,75,77,
Jonathon Brooks,rating,74,76,
Al-Quadin Muhammad,rating,74,76,
Al-Quadin Muhammad,position,DE,MLB,
C.J. Gardner-Johnson,rating,73,75,
Tory Taylor,rating,77,75,
Cooper Beebe,rating,77,75,
Dalvin Tomlinson,rating,77,75,
Sam Martin,rating,76,74,
Eric Murray,rating,72,74,
Brashard Smith,rating,72,74,
Tyler Higbee,rating,76,74,
Kirk Cousins,rating,72,74,
Jalen Tolbert,rating,72,74,
Malik Mustapha,rating,72,74,
Patrick Mekari,rating,71,73,
Ollie Gordon II,rating,75,73,
Kyle Williams,rating,75,73,
Noah Fant,rating,71,73,
Braelon Allen,rating,75,73,
Kelee Ringo,rating,75,73,
Tyler Conklin,rating,74,72,
Ty Chandler,rating,74,72,
Dillon Radunz,rating,70,72,
Denzel Burke,rating,69,71,
Emery Jones Jr.,rating,69,71,
Emery Jones Jr.,position,OG,OT,
Roschon Johnson,rating,73,71,
Adam Trautman,rating,69,71,
Jalen Royals,rating,73,71,
Jamaree Caldwell,rating,73,71,
Christian Haynes,rating,69,71,
Jovaughn Gwyn,rating,68,70,
Jovaughn Gwyn,position,C,OG,
Karl Brooks,rating,68,70,
Rasheen Ali,rating,71,69,
Anthony Richardson,rating,71,69,
Jake Bobo,rating,71,69,
Jackson Hawes,rating,70,68,
Theo Benedet,rating,65,67,
Josh Wallace,rating,69,67,
Aidan O'Connell,rating,69,67,
Jaylan Ford,rating,69,67,
Zach Wilson,rating,65,67,
Spencer Anderson,rating,65,67,
Kitan Crawford,rating,68,66,
Myles Price,rating,68,66,
Vederian Lowe,rating,64,66,
Tycen Anderson,rating,63,65,
Hunter Wohler,rating,63,65,
Branson Taylor,rating,67,65,
Jarrett Stidham,rating,66,64,
Marlowe Wax,rating,62,64,
Donovan McMillon,rating,64,62,
Moliki Matavao,rating,64,62,
Jay Higgins,rating,63,61,
Keondre Jackson,rating,62,60,
Pat Surtain II,rating,94,97,
CeeDee Lamb,rating,97,94,
Chris Jones,rating,97,94,
Rashawn Slater,rating,89,92,
Quinyon Mitchell,rating,93,90,
Tyler Linderbaum,rating,91,88,
Brandon Aubrey,rating,90,87,
Kevin Byard,rating,88,85,
DK Metcalf,rating,82,85,
Bucky Irving,rating,88,85,
Taylor Moton,rating,87,84,
Alec Pierce,rating,87,84,
Kyler Gordon,rating,80,83,
Ed Oliver,rating,79,82,
Tyler Booker,rating,85,82,
Jordan Davis,rating,85,82,
Tyler Allgeier,rating,84,81,
Bo Nix,rating,84,81,
Aaron Jones,rating,84,81,
Colton McKivitz,rating,84,81,
Ezra Cleveland,rating,82,79,
Jihaad Campbell,rating,76,79,
Kenneth Gainwell,rating,82,79,
Cole Kmet,rating,75,78,
Boye Mafe,rating,81,78,
Jackson Powers-Johnson,rating,81,78,
Julian Blackmon,rating,81,78,
Andru Phillips,rating,81,78,
Tommy Townsend,rating,81,78,
Matthew Bergeron,rating,80,77,
Kimani Vidal,rating,74,77,
Eric Stokes,rating,74,77,
Jalen Nailor,rating,74,77,
Cody Mauch,rating,74,77,
Tate Ratledge,rating,73,76,
Paulson Adebo,rating,73,76,
Marquise Brown,rating,79,76,
Marquise Brown,teamID,PHI,Free Agent,espn-demote
John Jenkins,rating,78,75,
Lloyd Cushenberry III,rating,78,75,
Kyler Murray,rating,72,75,
Upton Stout,rating,78,75,
AJ Dillon,rating,77,74,
Jowon Briggs,rating,71,74,
Tyler Steen,rating,77,74,
Will Shipley,rating,71,74,
Jalen McMillan,rating,71,74,
DaVon Hamilton,rating,70,73,
Cam Hart,rating,70,73,
Josh Oliver,rating,70,73,
Jordan James,rating,70,73,
Tommy Tremble,rating,75,72,
Ben Bartch,rating,69,72,
Darius Alexander,rating,69,72,
Thomas Hennessy,rating,69,72,
Luke McCaffrey,rating,75,72,
Andrew Vorhees,rating,74,71,
Akayleb Evans,rating,68,71,
Omarr Norman-Lott,rating,68,71,
Trevor Penning,rating,74,71,
Roman Wilson,rating,68,71,
Nick Martin,position,OLB,MLB,
Marcus Harris,rating,68,71,
T.J. Tampa,rating,73,70,
DJ Giddens,rating,73,70,
Justin Fields,rating,73,70,
R.J. Mickens,rating,73,70,
R.J. Mickens,teamID,LAC,Free Agent,espn-demote
Terrance Ferguson,rating,73,70,
Bilhal Kone,rating,72,69,
Joe Andreessen,rating,66,69,
Levi Drake Rodriguez,rating,66,69,
Sione Vaki,rating,71,68,
Ke'Shawn Williams,rating,63,66,
Javontae Jean-Baptiste,rating,63,66,
Javontae Jean-Baptiste,position,DE,MLB,
Dylan Cook,rating,68,65,
Corey Levin,rating,67,64,
Corey Levin,position,C,OG,
Kyle Hinton,rating,60,63,
Luke Tenuta,rating,65,62,
Michael Jurgens,rating,65,62,
Brett Toth,rating,65,62,
Benjamin Chukwuma,rating,63,60,
Josh Allen,rating,95,99,
Micah Parsons,rating,94,98,
Fred Warner,rating,94,98,
Lane Johnson,rating,93,97,
Christian McCaffrey,rating,93,97,
Derrick Henry,rating,90,94,
Patrick Mahomes,rating,95,94,
Roquan Smith,rating,89,93,
Danielle Hunter,rating,93,92,
Caleb Williams,rating,87,91,
Saquon Barkley,rating,95,91,
Quinnen Williams,rating,94,90,
Kyren Williams,rating,85,89,
Sam LaPorta,rating,84,88,
Kyle Juszczyk,rating,84,88,
D'Andre Swift,rating,83,87,
Jack Campbell,rating,91,87,
Nick Emmanwori,rating,82,86,
Jalen Thompson,rating,81,85,
Tucker Kraft,rating,86,85,
Michael Dickson,rating,89,85,
Chidobe Awuzie,rating,79,83,
Carson Schwesinger,rating,87,83,
Jourdan Lewis,rating,79,83,
Cooper Kupp,rating,79,83,
Jake Ferguson,rating,78,82,
T.J. Hockenson,rating,86,82,
Will Reichard,rating,86,82,
Kyle Pitts,rating,80,81,
Patrick Paul,rating,80,81,
Ikem Ekwonu,rating,81,80,
Mason Graham,rating,81,80,
Quentin Johnston,rating,79,80,
Tony Jefferson,rating,76,80,
Jaylen Watson,rating,79,80,
Ricky Pearsall,rating,79,80,
Alex Anzalone,rating,79,80,
Alex Anzalone,position,OLB,MLB,
Luther Burden III,rating,83,79,
Tyson Campbell,rating,83,79,
Kenny Clark,rating,78,79,
Jeremy Crawshaw,rating,75,79,
Tank Dell,rating,78,79,
AJ Cole,rating,83,79,
Jacob Parrish,rating,75,79,
Tykee Smith,rating,75,79,
Garrett Williams,rating,82,78,
Brian Robinson,rating,74,78,
Jake Bailey,rating,74,78,
Maxwell Hairston,rating,74,78,
Bhayshul Tuten,rating,74,78,
Amik Robertson,rating,74,78,
Luke Wattenberg,rating,76,77,
Jayden Higgins,rating,81,77,
Mason McCormick,rating,81,77,
A'Shawn Robinson,rating,81,77,
Kalif Raymond,rating,72,76,
Orlando Brown,rating,72,76,
B.J. Hill,rating,80,76,
Mike Hughes,rating,79,75,
Ray Davis,rating,71,75,
O'Cyrus Torrence,rating,79,75,
Malcolm Roach,rating,71,75,
Henry To'oTo'o,rating,71,75,
Henry To'oTo'o,position,OLB,MLB,
Tommy Togiai,rating,74,75,
Tyler Nubin,rating,71,75,
AJ Barner,rating,79,75,
Tony Adams,rating,79,75,
Joshua Williams,rating,76,75,
Andrew Wylie,rating,71,75,
Brandon Dorlus,rating,70,74,
Xavier Legette,rating,70,74,
Tyler Guyton,rating,70,74,
Jaden Hicks,rating,78,74,
Felix Anudike-Uzomah,rating,70,74,
Zach Harrison,rating,69,73,
Zach Harrison,position,DT,DE,
Jahan Dotson,rating,69,73,
Isaac TeSlaa,rating,77,73,
Quincy Riley,rating,69,73,
Dadrion Taylor-Demerson,rating,68,72,
Michael Penix Jr.,rating,68,72,
Alex Wright,rating,73,72,
John Michael Schmitz,rating,68,72,
Isaac Guerendo,rating,68,72,
Javon Kinlaw,rating,73,72,
Elijah Wilkinson,rating,67,71,
Trevor Etienne,rating,67,71,
Josh Newton,rating,70,71,
Mo Alie-Cox,rating,70,71,
LeQuint Allen Jr.,rating,67,71,
Jay Ward,rating,75,71,
Malachi Moore,rating,70,71,
Josh Jones,rating,75,71,
Josh Jones,position,OT,OG,
Bam Knight,rating,74,70,
DeWayne Carter,rating,66,70,
Thomas Harper,rating,69,70,
Barryn Sorrell,rating,74,70,
KeAndre Lambert-Smith,rating,69,70,
Charles Grant,rating,66,70,
Javon Solomon,rating,65,69,
Javon Solomon,position,DE,MLB,
Miles Frazier,rating,68,69,
Kai Kroeger,rating,65,69,
Jared Wiley,rating,70,69,
Jared Wiley,teamID,KC,Free Agent,espn-demote
Shaun Dolac,rating,70,69,
Jason Marshall Jr.,rating,70,69,
Dell Pettus,rating,73,69,
CJ West,rating,65,69,
CJ West,teamID,SF,Free Agent,espn-demote
LaCale London,rating,72,68,
LaCale London,position,DT,DE,
Chris Brooks,rating,72,68,
Dante Trader Jr.,rating,72,68,
Arian Smith,rating,69,68,
Jeremy Ruckert,rating,64,68,
Sam Okuayinonu,rating,64,68,
Sam Okuayinonu,position,DE,DT,
Jackson Slater,rating,72,68,
Austin Schlottmann,rating,67,68,
Javon Foster,rating,71,67,
Jalen Rivers,rating,66,67,
Riley Leonard,rating,68,67,
Nick Gargiulo,rating,62,66,
Max Mitchell,rating,65,66,
Kalen King,rating,69,65,
Will Mallory,rating,69,65,
Austin Ajiake,rating,61,65,
Desjuan Johnson,rating,66,65,
Jack Driscoll,rating,69,65,
Frank Crum,rating,60,64,
Blake Whiteheart,rating,66,62,
Karene Reid,rating,66,62,
Trey McBride,rating,94,99,
Jessie Bates,rating,89,94,
Davante Adams,rating,85,90,
Cooper DeJean,rating,84,89,
Jalen Carter,rating,84,89,
Leonard Williams,rating,93,88,
Nate Landman,rating,81,86,
Camryn Bynum,rating,79,84,
Camryn Bynum,teamID,IND,Free Agent,espn-demote
Hjalte Froholdt,rating,78,83,
Alim McNeill,rating,78,83,
Poona Ford,rating,78,83,
J.K. Dobbins,rating,77,82,
TreVeyon Henderson,rating,84,82,
Michael Pittman,rating,80,82,
Harrison Butker,rating,86,81,
Corey Bojorquez,rating,78,80,
RJ Harvey,rating,75,80,
Juwan Johnson,rating,78,80,
Quincy Williams,rating,74,79,
Quincy Williams,position,OLB,MLB,
Ja'Quan McMillian,rating,84,79,
Reed Blankenship,rating,74,79,
Mike Gesicki,rating,76,78,
Evan Engram,rating,76,78,
Jaxson Dart,rating,83,78,
Ar'Darius Washington,rating,76,78,
David Onyemata,rating,73,78,
Amani Hooker,rating,73,78,
Calvin Ridley,rating,73,78,
Rachaad White,rating,83,78,
Andrew Wingard,rating,72,77,
Will Johnson,rating,72,77,
Justice Hill,rating,82,77,
Teair Tart,rating,82,77,
Theo Johnson,rating,72,77,
Eddy Pineiro,rating,75,77,
Samson Ebukam,rating,71,76,
Dee Alford,rating,74,76,
Tyrique Stevenson,rating,71,76,
Ted Karras,rating,71,76,
Devaughn Vele,rating,81,76,
Oronde Gadsden II,rating,80,75,
Keaton Mitchell,rating,70,75,
Donovan Jackson,rating,70,75,
Grey Zabel,rating,80,75,
Drake Thomas,rating,80,75,
Drake Thomas,position,OLB,MLB,
Cade Otton,rating,80,75,
Blake Gillikin,rating,69,74,
Dalton Risner,rating,69,74,
Christian Izien,rating,69,74,
Robert Hainsey,rating,69,74,
Nohl Williams,rating,72,74,
Tyler Davis,rating,76,74,
Tyler Davis,position,DT,DE,
Jason Pinnock,rating,68,73,
Josh Conerly Jr.,rating,75,73,
Jacoby Brissett,rating,77,72,
Isaiah McGuire,rating,77,72,
Ennis Rakestraw Jr.,rating,77,72,
Christian Mahogany,rating,74,72,
Michael Mayer,rating,77,72,
Marcus Mariota,rating,74,72,
Luke Fortner,rating,66,71,
D'Marco Jackson,rating,76,71,
D'Marco Jackson,position,OLB,MLB,
Jordan Phillips,rating,76,71,
Mac McWilliams,rating,76,71,
Sean Tucker,rating,69,71,
Durham Smythe,rating,65,70,
Cedric Johnson,rating,68,70,
Mekhi Wingo,rating,65,70,
Larry Borom,rating,65,70,
Savion Williams,rating,65,70,
Justin Walley,rating,72,70,
Logan Lee,rating,65,70,
Tatum Bethune,rating,65,70,
Oren Burks,rating,74,69,
Oren Burks,position,OLB,MLB,
Jalen Sundell,rating,71,69,
Dylan Laube,rating,73,68,
Alex Forsyth,rating,72,67,
Giovanni Manu,rating,72,67,
Dylan Horton,rating,72,67,
Deane Leonard,rating,62,67,
Danny Pinter,rating,71,66,
Alijah Clark,rating,70,65,
Thomas Fidone II,rating,67,65,
PJ Jules,rating,68,63,
Tyler Batty,rating,68,63,
Tyler Batty,position,DE,MLB,
Joe Burrow,rating,91,97,
George Kittle,rating,94,97,
James Cook,rating,90,93,
Andrew Thomas,rating,87,93,
Nick Bosa,rating,90,93,
Brian Branch,rating,94,91,
Jared Goff,rating,86,89,
Trey Hendrickson,rating,94,88,
Trey Hendrickson,position,DE,MLB,
DeMarcus Lawrence,rating,81,87,
DeMarcus Lawrence,position,DE,MLB,
Tanor Bortolini,rating,80,86,
Julian Love,rating,80,86,
Spencer Brown,rating,79,85,
Peter Skoronski,rating,78,84,
DaRon Bland,rating,77,83,
Elgton Jenkins,rating,76,82,
Cameron Dicker,rating,88,82,
Donte Jackson,rating,76,82,
Abdul Carter,rating,76,82,
Abdul Carter,position,DE,MLB,
Jalen Hurts,rating,88,82,
Chuba Hubbard,rating,75,81,
Omarion Hampton,rating,75,81,
Emeka Egbuka,rating,78,81,
Tytus Howard,rating,74,80,
Brian Thomas Jr.,rating,77,80,
Tyler Shough,rating,82,79,
Frankie Luvu,rating,76,79,
Frankie Luvu,position,OLB,MLB,
Bryce Young,rating,84,78,
Christian Kirk,rating,72,78,
James Pierre,rating,80,77,
Will Fries,rating,71,77,
Isaiah Likely,rating,83,77,
Dylan Parham,rating,83,77,
Tank Bigsby,rating,71,77,
Jake Brendel,rating,74,77,
Elic Ayomanor,rating,71,77,
Kyle Dugger,rating,70,76,
Amarius Mims,rating,73,76,
Logan Cooke,rating,82,76,
Denzel Perryman,rating,70,76,
Mack Hollins,rating,73,76,
Brandon Stephens,rating,82,76,
Brandon Aiyuk,rating,82,76,
Samaje Perine,rating,72,75,
Ryan Rehkow,rating,78,75,
Dylan Sampson,rating,72,75,
Terence Steele,rating,69,75,
Deone Walker,rating,68,74,
Shemar Stewart,rating,68,74,
Wyatt Teller,rating,68,74,
JT Tuimoloau,rating,68,74,
JT Tuimoloau,teamID,IND,Free Agent,espn-demote
Emanuel Wilson,rating,80,74,
Cam Ward,rating,80,74,
Dayo Odeyingbo,rating,70,73,
Pat Bryant,rating,79,73,
Robbie Ouzts,rating,70,73,
Dan Moore Jr.,rating,70,73,
Mike Hall Jr.,rating,66,72,
Chris Manhertz,rating,77,71,
Zak Zinter,rating,64,70,
Derius Davis,rating,73,70,
Theo Jackson,rating,67,70,
Khristian Boyd,rating,64,70,
Mitchell Evans,rating,75,69,
Tyler Baron,rating,66,69,
Josh Hayes,rating,75,69,
Jonah Savaiinaea,rating,62,68,
Qwan'tez Stiggers,rating,62,68,
Aeneas Peebles,rating,64,67,
Elijah Hicks,rating,70,67,
Cade Stover,rating,61,67,
Jeffrey Bassa,rating,70,67,
Jeffrey Bassa,position,OLB,MLB,
Tyrion Ingram-Dawkins,rating,61,67,
Isaiah Williams,rating,73,67,
Jelani Woods,rating,64,67,
Dillon Gabriel,rating,72,66,
Ty'Ron Hopper,rating,60,66,
Ty'Ron Hopper,position,OLB,MLB,
BJ Green II,rating,70,64,
BJ Green II,teamID,JAX,Free Agent,espn-demote
Gavin Bartholomew,rating,70,64,
Luke Farrell,rating,67,64,
Robert Beal Jr.,rating,69,63,
Elijah Williams,rating,59,62,
Elijah Williams,position,DT,DE,
David Martin-Robinson,rating,68,62,
Nick Kallerup,rating,66,60,
Tyson Bagent,rating,65,59,
Amon-Ra St. Brown,rating,92,96,
Trent McDuffie,rating,90,94,
DeVonta Smith,rating,86,93,
Nnamdi Madubuike,rating,83,90,
Aaron Brewer,rating,86,90,
Mike Evans,rating,83,90,
De'Von Achane,rating,92,88,
Tetairoa McMillan,rating,79,86,
Trevor Lawrence,rating,89,85,
Chase Brown,rating,77,84,
Rashan Gary,rating,77,84,
Rashan Gary,position,DE,MLB,
Landon Dickerson,rating,80,84,
Charles Cross,rating,77,84,
Jaylen Warren,rating,79,83,
Tony Pollard,rating,76,83,
Tremaine Edmunds,rating,75,82,
Jayden Reed,rating,73,80,
Tarheeb Still,rating,73,80,
Jayden Daniels,rating,87,80,
Travis Jones,rating,83,79,
Cole Bishop,rating,75,79,
David Edwards,rating,86,79,
Greg Newsome II,rating,72,79,
Walter Nolen,rating,74,78,
Jalen Coker,rating,74,78,
Chuck Clark,rating,71,78,
Jaylinn Hawkins,rating,84,77,
Teven Jenkins,rating,84,77,
Daniel Jones,rating,84,77,
Keeanu Benton,rating,70,77,
Tyjae Spears,rating,70,77,
Ronnie Hickman Jr.,rating,72,76,
D.J. Jones,rating,83,76,
Evan Williams,rating,69,76,
Arik Armstead,rating,83,76,
Darnell Washington,rating,69,76,
Demarcus Robinson,rating,80,76,
Graham Barton,rating,69,76,
Josh Palmer,rating,79,75,
Ryan Wright,rating,82,75,
Devin Singletary,rating,71,75,
Tyler Bass,rating,81,74,
Bobby Brown III,rating,67,74,
P.J. Locke,rating,67,74,
Malik Willis,rating,81,74,
Kris Abrams-Draine,rating,69,73,
Jaylin Noel,rating,77,73,
Tre Harris,rating,66,73,
James Houston,rating,65,72,
James Houston,position,DE,MLB,
Josh Myers,rating,65,72,
Dylan Fairchild,rating,78,71,
Tylan Wallace,rating,64,71,
Caelen Carson,rating,64,71,
Ty Hamilton,rating,64,71,
Joshua Farmer,rating,78,71,
Jacob Cowing,rating,64,71,
Gunnar Helm,rating,75,71,
Cam Jackson,rating,77,70,
Luke Musgrave,rating,66,70,
Jalen Travis,rating,63,70,
Isaiah Adams,rating,76,69,
Raheim Sanders,rating,73,69,
Tommy Eichenberg,rating,62,69,
Spencer Rattler,rating,73,69,
Chris Rumph II,rating,65,69,
Jordan Watkins,rating,76,69,
Efton Chism III,rating,72,68,
Donte Kent,rating,64,68,
Kitan Oladapo,rating,71,67,
Davis Allen,rating,60,67,
Luke Newman,rating,73,66,
Luke Newman,position,OG,OT,
Dalton Tucker,rating,58,65,
Chigozie Anusiem,rating,61,65,
Julian Ashby,rating,58,65,
Liam McCullough,rating,57,64,
Payne Durham,rating,71,64,
Tylan Grable,rating,67,63,
Jonah Monheim,rating,70,63,
Patrick O'Connell,rating,64,57,
Ryan McCollum,rating,61,54,
Penei Sewell,rating,93,98,
DeForest Buckner,rating,84,92,
Kenneth Walker III,rating,87,92,
Terry McLaurin,rating,86,91,
Mark Andrews,rating,85,90,
Zay Flowers,rating,84,89,
Dallas Goedert,rating,81,89,
Dalton Schultz,rating,79,87,
Erik McCoy,rating,79,87,
Paris Johnson Jr.,rating,78,86,
Zach Frazier,rating,77,85,
Jordan Love,rating,89,84,
Jason Myers,rating,92,84,
Azeez Al-Shaair,rating,75,83,
Josh Metellus,rating,74,82,
Josh Metellus,teamID,MIN,Free Agent,espn-demote
Riq Woolen,rating,74,82,
Bryan Cook,rating,85,80,
Steve Avila,rating,85,80,
Andrew DePaola,rating,72,80,
Cordale Flott,rating,72,80,
Jack Fox,rating,87,79,
Pat Freiermuth,rating,84,79,
Xavier Watts,rating,86,78,
Cairo Santos,rating,86,78,
Nick Herbig,rating,86,78,
Nick Herbig,position,DE,MLB,
Javon Bullard,rating,72,77,
Dre'Mont Jones,rating,69,77,
Derrick Harmon,rating,69,77,
Trey Amos,rating,69,77,
Ryan Flournoy,rating,81,76,
Matt Goncalves,rating,68,76,
Corliss Waitman,rating,68,76,
Jack Jones,rating,68,76,
Tyrice Knight,rating,80,75,
Tyrice Knight,position,OLB,MLB,
Ben Powers,rating,79,74,
Dyami Brown,rating,68,73,
Hunter Luepke,rating,64,72,
Chris Rodriguez Jr.,rating,74,72,
Ashton Gillotte,rating,67,72,
Cameron Johnston,rating,80,72,
Jeremy McNichols,rating,64,72,
Micheal Clemons,rating,63,71,
Jameis Winston,rating,79,71,
Jaylin Smith,rating,65,70,
Isaiah Davis,rating,78,70,
Daniel Bellinger,rating,75,70,
Shedeur Sanders,rating,61,69,
Luke Schoonmaker,rating,64,69,
Brycen Tremayne,rating,60,68,
Charlie Kolar,rating,76,68,
Tonka Hemingway,rating,63,68,
Cory Durden,rating,76,68,
Mason Rudolph,rating,75,67,
Hunter Nourzad,rating,71,66,
Jalen Milroe,rating,74,66,
Stetson Bennett,rating,69,64,
Will Howard,rating,69,64,
Jake Briningstool,rating,71,63,
Mason Richman,rating,71,63,
Mason Richman,position,OT,OG,
Bryan Hudson,rating,69,61,
Will Anderson Jr.,rating,88,94,
Greg Rousseau,rating,80,89,
Greg Rousseau,position,DE,MLB,
Nick Folk,rating,91,85,
DJ Moore,rating,75,84,
D.J. Reed,rating,74,83,
Travis Hunter,rating,74,83,
Travis Hunter,position,CB,WR,
Chase Young,rating,74,83,
Christian Watson,rating,72,81,
Woody Marks,rating,72,81,
Antonio Johnson,rating,87,81,
Tyler Biadasz,rating,71,80,
Troy Franklin,rating,70,79,
Christian Barmore,rating,70,79,
T'Vondre Sweat,rating,88,79,
Dorance Armstrong,rating,70,79,
Matthew Golden,rating,69,78,
Jarrian Jones,rating,69,78,
Chase McLaughlin,rating,87,78,
Kendrick Bourne,rating,68,77,
Carrington Valentine,rating,71,77,
C.J. Stroud,rating,82,76,
Chop Robinson,rating,66,75,
Chop Robinson,position,DE,MLB,
Nahshon Wright,rating,69,75,
Kevin Winston Jr.,rating,66,75,
Devin Duvernay,rating,68,74,
Jordan Howden,rating,83,74,
Andrew Mukuba,rating,65,74,
Olamide Zaccheaus,rating,64,73,
Joe Flacco,rating,82,73,
